ad_id,user_id,car_id,title,negotiable,description,post_date
15,29,13,2017 Toyota Calya Wagon,True,Warna: Putih Jarak tempuh: 21805 Tipe mobil: Manual Harga: 115500000 Bisa nego: Iya,2022-06-04 23:48:14
16,23,46,2015 Suzuki Ertiga MPV,True,Warna: Hitam Jarak tempuh: 71042 Tipe mobil: Manual Harga: 125000000 Bisa nego: Iya,2022-07-09 22:05:02
17,21,3,2014 Toyota Yaris Hatchback,True,Warna: Silver Jarak tempuh: 12356 Tipe mobil: Automatic Harga: 162000000 Bisa nego: Iya,2022-06-11 08:39:34
18,71,48,2016 Suzuki Ertiga MPV,False,Warna: Merah Jarak tempuh: 19382 Tipe mobil: Manual Harga: 168000000 Bisa nego: Tidak,2022-07-16 15:24:22
19,70,19,2017 Daihatsu Ayla Hatchback,False,Warna: Coklat Jarak tempuh: 13115 Tipe mobil: Manual Harga: 115000000 Bisa nego: Tidak,2022-04-27 16:36:26
20,95,47,2018 Suzuki Ertiga MPV,False,Warna: Silver Jarak tempuh: 16743 Tipe mobil: Automatic Harga: 178000000 Bisa nego: Tidak,2022-08-15 04:03:54
21,83,23,2019 Daihatsu Terios SUV,False,Warna: Coklat Jarak tempuh: 13869 Tipe mobil: Manual Harga: 189900000 Bisa nego: Tidak,2022-09-09 06:31:43
22,5,13,2017 Toyota Calya Wagon,True,Warna: Silver Jarak tempuh: 28122 Tipe mobil: Manual Harga: 115500000 Bisa nego: Iya,2022-05-03 10:14:25
23,58,44,2013 Honda Civic Sedan,False,Warna: Abu-abu Jarak tempuh: 60985 Tipe mobil: Manual Harga: 179000000 Bisa nego: Tidak,2022-03-29 21:33:27
24,12,44,2013 Honda Civic Sedan,True,Warna: Putih Jarak tempuh: 42075 Tipe mobil: Automatic Harga: 179000000 Bisa nego: Iya,2022-10-13 00:38:15
25,53,1,2016 Toyota Yaris Hatchback,True,Warna: Oranye Jarak tempuh: 35086 Tipe mobil: Manual Harga: 175000000 Bisa nego: Iya,2022-01-24 18:01:50
26,36,33,2018 Honda Jazz Hatchback,True,Warna: Putih Jarak tempuh: 16788 Tipe mobil: Automatic Harga: 216000000 Bisa nego: Iya,2022-03-30 14:04:53
27,15,38,2009 Honda CR-V SUV,False,Warna: Coklat Jarak tempuh: 30368 Tipe mobil: Manual Harga: 116000000 Bisa nego: Tidak,2022-01-16 11:00:04
28,86,1,2016 Toyota Yaris Hatchback,True,Warna: Hitam Jarak tempuh: 28222 Tipe mobil: Automatic Harga: 175000000 Bisa nego: Iya,2022-01-18 14:11:47
29,98,26,2019 Daihatsu Xenia MPV,True,Warna: Coklat Jarak tempuh: 21833 Tipe mobil: Manual Harga: 170000000 Bisa nego: Iya,2022-04-17 12:03:27
30,46,11,2019 Toyota Calya Wagon,False,Warna: Merah Jarak tempuh: 32990 Tipe mobil: Automatic Harga: 130000000 Bisa nego: Tidak,2022-10-15 08:14:50
31,82,27,2022 Daihatsu Xenia MPV,False,Warna: Hijau Jarak tempuh: 76251 Tipe mobil: Automatic Harga: 220500000 Bisa nego: Tidak,2022-08-31 15:18:23
32,80,20,2017 Daihatsu Ayla Hatchback,False,Warna: Merah Jarak tempuh: 29712 Tipe mobil: Manual Harga: 113000000 Bisa nego: Tidak,2022-03-31 23:43:06
33,41,46,2015 Suzuki Ertiga MPV,False,Warna: Hitam Jarak tempuh: 22645 Tipe mobil: Manual Harga: 125000000 Bisa nego: Tidak,2022-03-24 09:43:22
34,91,8,2016 Toyota Agya Hatchback,True,Warna: Abu-abu Jarak tempuh: 35637 Tipe mobil: Manual Harga: 110000000 Bisa nego: Iya,2022-09-24 21:30:48
35,17,8,2016 Toyota Agya Hatchback,False,Warna: Abu-abu Jarak tempuh: 38465 Tipe mobil: Manual Harga: 110000000 Bisa nego: Tidak,2022-01-18 19:43:35
36,28,30,2018 Daihatsu Xenia MPV,True,Warna: Hitam Jarak tempuh: 54394 Tipe mobil: Automatic Harga: 159000000 Bisa nego: Iya,2022-12-27 15:41:08
37,12,4,2020 Toyota Yaris Hatchback,True,Warna: Abu-abu Jarak tempuh: 31652 Tipe mobil: Manual Harga: 220000000 Bisa nego: Iya,2022-01-16 06:16:07
38,40,12,2019 Toyota Calya Wagon,True,Warna: Biru Jarak tempuh: 45402 Tipe mobil: Automatic Harga: 137000000 Bisa nego: Iya,2022-10-01 15:39:08
39,80,19,2017 Daihatsu Ayla Hatchback,False,Warna: Oranye Jarak tempuh: 18799 Tipe mobil: Automatic Harga: 115000000 Bisa nego: Tidak,2022-12-23 04:57:33
40,74,38,2009 Honda CR-V SUV,True,Warna: Silver Jarak tempuh: 63550 Tipe mobil: Manual Harga: 116000000 Bisa nego: Iya,2022-02-20 02:38:03
41,33,32,2019 Honda Jazz Hatchback,True,Warna: Silver Jarak tempuh: 22453 Tipe mobil: Manual Harga: 250000000 Bisa nego: Iya,2022-02-02 18:34:11
42,62,10,2017 Toyota Agya Hatchback,False,Warna: Oranye Jarak tempuh: 68185 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Tidak,2022-03-06 19:00:41
43,25,35,2013 Honda Jazz Hatchback,False,Warna: Hitam Jarak tempuh: 17651 Tipe mobil: Automatic Harga: 178000000 Bisa nego: Tidak,2022-06-07 22:29:26
44,86,36,2018 Honda CR-V SUV,False,Warna: Merah Jarak tempuh: 15045 Tipe mobil: Manual Harga: 415000000 Bisa nego: Tidak,2022-11-02 22:43:13
45,81,30,2018 Daihatsu Xenia MPV,True,Warna: Biru Jarak tempuh: 22030 Tipe mobil: Manual Harga: 159000000 Bisa nego: Iya,2022-06-14 12:33:41
46,97,33,2018 Honda Jazz Hatchback,True,Warna: Biru Jarak tempuh: 44810 Tipe mobil: Manual Harga: 216000000 Bisa nego: Iya,2022-09-19 20:04:47
47,34,47,2018 Suzuki Ertiga MPV,False,Warna: Oranye Jarak tempuh: 10159 Tipe mobil: Automatic Harga: 178000000 Bisa nego: Tidak,2022-05-20 14:30:03
48,95,25,2018 Daihatsu Terios SUV,True,Warna: Oranye Jarak tempuh: 27608 Tipe mobil: Automatic Harga: 201000000 Bisa nego: Iya,2022-06-07 05:23:24
49,3,10,2017 Toyota Agya Hatchback,False,Warna: Abu-abu Jarak tempuh: 50356 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Tidak,2022-09-16 22:18:13
50,86,15,2016 Toyota Calya Wagon,True,Warna: Oranye Jarak tempuh: 49730 Tipe mobil: Manual Harga: 107000000 Bisa nego: Iya,2022-12-26 07:28:07
51,90,32,2019 Honda Jazz Hatchback,False,Warna: Abu-abu Jarak tempuh: 72591 Tipe mobil: Manual Harga: 250000000 Bisa nego: Tidak,2022-01-19 10:27:30
52,67,19,2017 Daihatsu Ayla Hatchback,True,Warna: Merah Jarak tempuh: 25164 Tipe mobil: Manual Harga: 115000000 Bisa nego: Iya,2022-02-08 18:33:33
53,78,46,2015 Suzuki Ertiga MPV,True,Warna: Putih Jarak tempuh: 51222 Tipe mobil: Manual Harga: 125000000 Bisa nego: Iya,2022-09-03 18:23:11
54,53,31,2018 Honda Jazz Hatchback,False,Warna: Oranye Jarak tempuh: 30202 Tipe mobil: Automatic Harga: 236000000 Bisa nego: Tidak,2022-12-22 18:17:07
55,23,40,2018 Honda CR-V SUV,True,Warna: Merah Jarak tempuh: 15901 Tipe mobil: Automatic Harga: 398500000 Bisa nego: Iya,2022-06-25 00:56:34
56,61,41,2018 Honda Civic Hatchback,False,Warna: Hijau Jarak tempuh: 45443 Tipe mobil: Automatic Harga: 350000000 Bisa nego: Tidak,2022-07-27 08:45:14
57,69,11,2019 Toyota Calya Wagon,False,Warna: Hitam Jarak tempuh: 37820 Tipe mobil: Manual Harga: 130000000 Bisa nego: Tidak,2022-06-27 07:29:41
58,54,34,2015 Honda Jazz Hatchback,True,Warna: Hijau Jarak tempuh: 45311 Tipe mobil: Automatic Harga: 192000000 Bisa nego: Iya,2022-01-17 22:18:54
59,12,36,2018 Honda CR-V SUV,False,Warna: Merah Jarak tempuh: 77358 Tipe mobil: Automatic Harga: 415000000 Bisa nego: Tidak,2022-06-14 21:30:25
60,42,16,2016 Daihatsu Ayla Hatchback,False,Warna: Oranye Jarak tempuh: 54761 Tipe mobil: Manual Harga: 83000000 Bisa nego: Tidak,2022-01-29 21:49:24
61,25,7,2014 Toyota Agya Hatchback,False,Warna: Abu-abu Jarak tempuh: 22905 Tipe mobil: Manual Harga: 97000000 Bisa nego: Tidak,2022-02-05 16:03:35
62,10,42,2010 Honda Civic Sedan,True,Warna: Putih Jarak tempuh: 26360 Tipe mobil: Manual Harga: 165000000 Bisa nego: Iya,2022-08-21 20:05:05
63,66,46,2015 Suzuki Ertiga MPV,True,Warna: Hijau Jarak tempuh: 16454 Tipe mobil: Automatic Harga: 125000000 Bisa nego: Iya,2022-04-09 11:01:43
64,37,19,2017 Daihatsu Ayla Hatchback,True,Warna: Silver Jarak tempuh: 22414 Tipe mobil: Manual Harga: 115000000 Bisa nego: Iya,2022-09-11 05:35:24
65,81,14,2016 Toyota Calya Wagon,False,Warna: Hijau Jarak tempuh: 63977 Tipe mobil: Automatic Harga: 104000000 Bisa nego: Tidak,2022-10-07 01:33:13
66,52,24,2017 Daihatsu Terios SUV,True,Warna: Silver Jarak tempuh: 51246 Tipe mobil: Manual Harga: 166000000 Bisa nego: Iya,2022-12-05 16:28:09
67,89,30,2018 Daihatsu Xenia MPV,True,Warna: Hitam Jarak tempuh: 76706 Tipe mobil: Automatic Harga: 159000000 Bisa nego: Iya,2022-07-25 04:12:28
68,7,50,2018 Suzuki Ertiga MPV,True,Warna: Silver Jarak tempuh: 13348 Tipe mobil: Manual Harga: 167000000 Bisa nego: Iya,2022-04-18 20:31:09
69,86,27,2022 Daihatsu Xenia MPV,True,Warna: Coklat Jarak tempuh: 26552 Tipe mobil: Automatic Harga: 220500000 Bisa nego: Iya,2022-11-02 23:33:27
70,70,4,2020 Toyota Yaris Hatchback,True,Warna: Kuning Jarak tempuh: 25057 Tipe mobil: Automatic Harga: 220000000 Bisa nego: Iya,2022-07-16 21:09:58
71,57,35,2013 Honda Jazz Hatchback,False,Warna: Coklat Jarak tempuh: 72807 Tipe mobil: Automatic Harga: 178000000 Bisa nego: Tidak,2022-01-08 00:44:13
72,34,19,2017 Daihatsu Ayla Hatchback,False,Warna: Biru Jarak tempuh: 34884 Tipe mobil: Automatic Harga: 115000000 Bisa nego: Tidak,2022-04-17 04:59:00
73,75,10,2017 Toyota Agya Hatchback,False,Warna: Merah Jarak tempuh: 28937 Tipe mobil: Manual Harga: 115500000 Bisa nego: Tidak,2022-05-03 22:02:24
74,66,22,2022 Daihatsu Terios SUV,False,Warna: Merah Jarak tempuh: 64996 Tipe mobil: Automatic Harga: 223000000 Bisa nego: Tidak,2022-06-19 21:54:44
75,40,21,2018 Daihatsu Terios SUV,False,Warna: Putih Jarak tempuh: 77927 Tipe mobil: Manual Harga: 190000000 Bisa nego: Tidak,2022-09-08 17:25:15
76,74,26,2019 Daihatsu Xenia MPV,True,Warna: Silver Jarak tempuh: 10901 Tipe mobil: Manual Harga: 170000000 Bisa nego: Iya,2022-08-04 04:21:44
77,42,36,2018 Honda CR-V SUV,False,Warna: Abu-abu Jarak tempuh: 41078 Tipe mobil: Automatic Harga: 415000000 Bisa nego: Tidak,2022-07-03 10:26:14
78,37,6,2019 Toyota Agya Hatchback,True,Warna: Kuning Jarak tempuh: 52156 Tipe mobil: Automatic Harga: 114000000 Bisa nego: Iya,2022-07-02 21:06:37
79,14,7,2014 Toyota Agya Hatchback,True,Warna: Coklat Jarak tempuh: 10693 Tipe mobil: Automatic Harga: 97000000 Bisa nego: Iya,2022-07-16 09:31:54
80,31,40,2018 Honda CR-V SUV,True,Warna: Oranye Jarak tempuh: 64095 Tipe mobil: Automatic Harga: 398500000 Bisa nego: Iya,2023-01-01 23:34:40
81,54,19,2017 Daihatsu Ayla Hatchback,False,Warna: Abu-abu Jarak tempuh: 13806 Tipe mobil: Manual Harga: 115000000 Bisa nego: Tidak,2022-09-08 18:25:10
82,12,16,2016 Daihatsu Ayla Hatchback,True,Warna: Silver Jarak tempuh: 71889 Tipe mobil: Automatic Harga: 83000000 Bisa nego: Iya,2022-05-16 06:03:10
83,100,7,2014 Toyota Agya Hatchback,True,Warna: Biru Jarak tempuh: 68159 Tipe mobil: Automatic Harga: 97000000 Bisa nego: Iya,2022-09-04 08:51:01
84,39,3,2014 Toyota Yaris Hatchback,True,Warna: Biru Jarak tempuh: 10158 Tipe mobil: Automatic Harga: 162000000 Bisa nego: Iya,2022-04-20 06:25:23
85,15,36,2018 Honda CR-V SUV,False,Warna: Coklat Jarak tempuh: 35379 Tipe mobil: Automatic Harga: 415000000 Bisa nego: Tidak,2022-04-21 06:50:28
86,7,7,2014 Toyota Agya Hatchback,False,Warna: Silver Jarak tempuh: 68602 Tipe mobil: Automatic Harga: 97000000 Bisa nego: Tidak,2022-11-24 23:06:31
87,53,29,2014 Daihatsu Xenia MPV,True,Warna: Biru Jarak tempuh: 40452 Tipe mobil: Automatic Harga: 100000000 Bisa nego: Iya,2022-05-29 02:28:28
88,67,6,2019 Toyota Agya Hatchback,False,Warna: Biru Jarak tempuh: 48615 Tipe mobil: Automatic Harga: 114000000 Bisa nego: Tidak,2022-03-08 02:21:04
89,69,9,2022 Toyota Agya Hatchback,True,Warna: Abu-abu Jarak tempuh: 54474 Tipe mobil: Automatic Harga: 155500000 Bisa nego: Iya,2022-08-28 22:02:59
90,74,44,2013 Honda Civic Sedan,False,Warna: Kuning Jarak tempuh: 66990 Tipe mobil: Manual Harga: 179000000 Bisa nego: Tidak,2022-12-21 04:10:57
91,28,6,2019 Toyota Agya Hatchback,True,Warna: Putih Jarak tempuh: 56895 Tipe mobil: Automatic Harga: 114000000 Bisa nego: Iya,2022-07-14 07:39:21
92,34,32,2019 Honda Jazz Hatchback,False,Warna: Hitam Jarak tempuh: 13852 Tipe mobil: Manual Harga: 250000000 Bisa nego: Tidak,2022-11-04 03:25:14
93,19,47,2018 Suzuki Ertiga MPV,True,Warna: Coklat Jarak tempuh: 29754 Tipe mobil: Automatic Harga: 178000000 Bisa nego: Iya,2022-05-07 15:56:36
94,34,5,2012 Toyota Yaris Hatchback,False,Warna: Putih Jarak tempuh: 76018 Tipe mobil: Automatic Harga: 124000000 Bisa nego: Tidak,2022-09-08 20:03:25
95,68,36,2018 Honda CR-V SUV,True,Warna: Silver Jarak tempuh: 42046 Tipe mobil: Manual Harga: 415000000 Bisa nego: Iya,2022-11-15 09:14:39
96,61,7,2014 Toyota Agya Hatchback,True,Warna: Coklat Jarak tempuh: 56840 Tipe mobil: Manual Harga: 97000000 Bisa nego: Iya,2022-01-03 00:48:42
97,14,13,2017 Toyota Calya Wagon,False,Warna: Merah Jarak tempuh: 20373 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Tidak,2022-12-29 17:45:55
98,70,10,2017 Toyota Agya Hatchback,True,Warna: Hitam Jarak tempuh: 71826 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Iya,2022-10-02 23:06:40
99,50,24,2017 Daihatsu Terios SUV,False,Warna: Merah Jarak tempuh: 14992 Tipe mobil: Manual Harga: 166000000 Bisa nego: Tidak,2022-01-18 11:03:00
100,4,45,2019 Honda Civic Hatchback,False,Warna: Coklat Jarak tempuh: 18621 Tipe mobil: Manual Harga: 397500000 Bisa nego: Tidak,2022-02-19 12:47:26
101,75,39,2016 Honda CR-V SUV,True,Warna: Hitam Jarak tempuh: 71487 Tipe mobil: Automatic Harga: 269000000 Bisa nego: Iya,2022-12-13 21:40:54
102,60,36,2018 Honda CR-V SUV,True,Warna: Hijau Jarak tempuh: 67834 Tipe mobil: Manual Harga: 415000000 Bisa nego: Iya,2022-04-27 14:18:19
103,13,29,2014 Daihatsu Xenia MPV,True,Warna: Hitam Jarak tempuh: 20211 Tipe mobil: Manual Harga: 100000000 Bisa nego: Iya,2022-03-07 14:26:04
104,3,40,2018 Honda CR-V SUV,False,Warna: Merah Jarak tempuh: 66666 Tipe mobil: Automatic Harga: 398500000 Bisa nego: Tidak,2022-06-01 15:48:17
105,8,7,2014 Toyota Agya Hatchback,True,Warna: Biru Jarak tempuh: 57995 Tipe mobil: Manual Harga: 97000000 Bisa nego: Iya,2022-03-31 01:38:34
106,90,39,2016 Honda CR-V SUV,False,Warna: Putih Jarak tempuh: 34560 Tipe mobil: Manual Harga: 269000000 Bisa nego: Tidak,2022-01-21 23:25:46
107,21,17,2019 Daihatsu Ayla Hatchback,False,Warna: Coklat Jarak tempuh: 12742 Tipe mobil: Manual Harga: 120000000 Bisa nego: Tidak,2022-05-07 07:22:33
108,87,15,2016 Toyota Calya Wagon,True,Warna: Biru Jarak tempuh: 13810 Tipe mobil: Manual Harga: 107000000 Bisa nego: Iya,2022-06-27 04:37:49
109,14,25,2018 Daihatsu Terios SUV,False,Warna: Kuning Jarak tempuh: 49148 Tipe mobil: Automatic Harga: 201000000 Bisa nego: Tidak,2022-11-01 10:11:44
110,29,39,2016 Honda CR-V SUV,False,Warna: Oranye Jarak tempuh: 15382 Tipe mobil: Automatic Harga: 269000000 Bisa nego: Tidak,2022-07-20 07:16:35
111,94,7,2014 Toyota Agya Hatchback,False,Warna: Biru Jarak tempuh: 32024 Tipe mobil: Automatic Harga: 97000000 Bisa nego: Tidak,2022-05-18 15:25:57
112,93,42,2010 Honda Civic Sedan,True,Warna: Putih Jarak tempuh: 28880 Tipe mobil: Manual Harga: 165000000 Bisa nego: Iya,2022-05-05 23:23:53
113,22,41,2018 Honda Civic Hatchback,False,Warna: Hitam Jarak tempuh: 54920 Tipe mobil: Automatic Harga: 350000000 Bisa nego: Tidak,2022-11-15 21:55:07
114,74,37,2017 Honda CR-V SUV,True,Warna: Kuning Jarak tempuh: 13542 Tipe mobil: Manual Harga: 345000000 Bisa nego: Iya,2022-03-31 21:45:49
115,50,48,2016 Suzuki Ertiga MPV,False,Warna: Hitam Jarak tempuh: 34224 Tipe mobil: Manual Harga: 168000000 Bisa nego: Tidak,2022-03-13 23:11:24
116,6,6,2019 Toyota Agya Hatchback,True,Warna: Hijau Jarak tempuh: 26023 Tipe mobil: Manual Harga: 114000000 Bisa nego: Iya,2022-10-29 18:59:08
117,82,38,2009 Honda CR-V SUV,False,Warna: Oranye Jarak tempuh: 58958 Tipe mobil: Automatic Harga: 116000000 Bisa nego: Tidak,2022-03-28 17:05:11
118,86,27,2022 Daihatsu Xenia MPV,True,Warna: Coklat Jarak tempuh: 23695 Tipe mobil: Automatic Harga: 220500000 Bisa nego: Iya,2022-10-13 06:22:08
119,36,33,2018 Honda Jazz Hatchback,False,Warna: Biru Jarak tempuh: 41365 Tipe mobil: Manual Harga: 216000000 Bisa nego: Tidak,2022-02-17 05:02:03
120,16,44,2013 Honda Civic Sedan,False,Warna: Silver Jarak tempuh: 78488 Tipe mobil: Automatic Harga: 179000000 Bisa nego: Tidak,2022-03-21 16:55:19
121,71,9,2022 Toyota Agya Hatchback,False,Warna: Merah Jarak tempuh: 26661 Tipe mobil: Automatic Harga: 155500000 Bisa nego: Tidak,2022-03-27 10:59:24
122,68,12,2019 Toyota Calya Wagon,False,Warna: Putih Jarak tempuh: 61135 Tipe mobil: Automatic Harga: 137000000 Bisa nego: Tidak,2022-03-01 05:36:41
123,27,7,2014 Toyota Agya Hatchback,False,Warna: Hitam Jarak tempuh: 42949 Tipe mobil: Automatic Harga: 97000000 Bisa nego: Tidak,2022-06-05 02:10:55
124,11,28,2017 Daihatsu Xenia MPV,True,Warna: Oranye Jarak tempuh: 69119 Tipe mobil: Manual Harga: 135000000 Bisa nego: Iya,2022-07-17 13:50:58
125,15,31,2018 Honda Jazz Hatchback,True,Warna: Hijau Jarak tempuh: 32653 Tipe mobil: Manual Harga: 236000000 Bisa nego: Iya,2022-05-07 20:24:52
126,86,23,2019 Daihatsu Terios SUV,True,Warna: Coklat Jarak tempuh: 57905 Tipe mobil: Automatic Harga: 189900000 Bisa nego: Iya,2022-12-01 03:26:20
127,12,27,2022 Daihatsu Xenia MPV,False,Warna: Kuning Jarak tempuh: 26724 Tipe mobil: Manual Harga: 220500000 Bisa nego: Tidak,2022-11-04 20:02:00
128,18,2,2018 Toyota Yaris Hatchback,False,Warna: Putih Jarak tempuh: 26204 Tipe mobil: Manual Harga: 215000000 Bisa nego: Tidak,2022-06-09 18:21:10
129,4,47,2018 Suzuki Ertiga MPV,False,Warna: Hijau Jarak tempuh: 51135 Tipe mobil: Manual Harga: 178000000 Bisa nego: Tidak,2022-05-31 07:50:27
130,94,14,2016 Toyota Calya Wagon,False,Warna: Hijau Jarak tempuh: 52107 Tipe mobil: Manual Harga: 104000000 Bisa nego: Tidak,2022-11-22 05:53:36
131,41,4,2020 Toyota Yaris Hatchback,True,Warna: Hijau Jarak tempuh: 23746 Tipe mobil: Manual Harga: 220000000 Bisa nego: Iya,2022-06-04 18:14:08
132,94,27,2022 Daihatsu Xenia MPV,True,Warna: Silver Jarak tempuh: 39355 Tipe mobil: Manual Harga: 220500000 Bisa nego: Iya,2022-04-26 20:08:43
133,80,42,2010 Honda Civic Sedan,True,Warna: Putih Jarak tempuh: 63627 Tipe mobil: Manual Harga: 165000000 Bisa nego: Iya,2022-08-28 04:55:16
134,56,22,2022 Daihatsu Terios SUV,False,Warna: Hitam Jarak tempuh: 61021 Tipe mobil: Manual Harga: 223000000 Bisa nego: Tidak,2022-05-01 06:50:48
135,73,12,2019 Toyota Calya Wagon,False,Warna: Merah Jarak tempuh: 66067 Tipe mobil: Automatic Harga: 137000000 Bisa nego: Tidak,2022-08-03 09:34:09
136,3,5,2012 Toyota Yaris Hatchback,True,Warna: Hijau Jarak tempuh: 21140 Tipe mobil: Manual Harga: 124000000 Bisa nego: Iya,2022-01-27 01:13:06
137,25,12,2019 Toyota Calya Wagon,True,Warna: Abu-abu Jarak tempuh: 15683 Tipe mobil: Manual Harga: 137000000 Bisa nego: Iya,2022-10-04 18:10:33
138,71,34,2015 Honda Jazz Hatchback,False,Warna: Silver Jarak tempuh: 19539 Tipe mobil: Automatic Harga: 192000000 Bisa nego: Tidak,2022-11-11 13:42:37
139,86,22,2022 Daihatsu Terios SUV,True,Warna: Kuning Jarak tempuh: 58919 Tipe mobil: Automatic Harga: 223000000 Bisa nego: Iya,2022-11-05 05:42:46
140,77,21,2018 Daihatsu Terios SUV,False,Warna: Hitam Jarak tempuh: 36177 Tipe mobil: Manual Harga: 190000000 Bisa nego: Tidak,2022-07-01 13:24:41
141,9,7,2014 Toyota Agya Hatchback,True,Warna: Oranye Jarak tempuh: 20844 Tipe mobil: Automatic Harga: 97000000 Bisa nego: Iya,2022-03-18 10:22:00
142,97,8,2016 Toyota Agya Hatchback,True,Warna: Hitam Jarak tempuh: 71478 Tipe mobil: Manual Harga: 110000000 Bisa nego: Iya,2022-12-24 04:57:15
143,27,24,2017 Daihatsu Terios SUV,False,Warna: Hijau Jarak tempuh: 11583 Tipe mobil: Automatic Harga: 166000000 Bisa nego: Tidak,2022-11-22 00:12:12
144,17,32,2019 Honda Jazz Hatchback,False,Warna: Biru Jarak tempuh: 61453 Tipe mobil: Automatic Harga: 250000000 Bisa nego: Tidak,2022-03-07 08:16:48
145,72,19,2017 Daihatsu Ayla Hatchback,True,Warna: Coklat Jarak tempuh: 28175 Tipe mobil: Manual Harga: 115000000 Bisa nego: Iya,2022-11-12 02:52:19
146,64,38,2009 Honda CR-V SUV,False,Warna: Silver Jarak tempuh: 58054 Tipe mobil: Automatic Harga: 116000000 Bisa nego: Tidak,2022-08-30 20:33:43
147,20,2,2018 Toyota Yaris Hatchback,False,Warna: Hijau Jarak tempuh: 41677 Tipe mobil: Manual Harga: 215000000 Bisa nego: Tidak,2022-12-08 11:09:21
148,54,11,2019 Toyota Calya Wagon,False,Warna: Biru Jarak tempuh: 53785 Tipe mobil: Automatic Harga: 130000000 Bisa nego: Tidak,2022-09-01 07:42:05
149,38,7,2014 Toyota Agya Hatchback,False,Warna: Coklat Jarak tempuh: 48593 Tipe mobil: Automatic Harga: 97000000 Bisa nego: Tidak,2022-03-02 18:09:49
150,34,50,2018 Suzuki Ertiga MPV,True,Warna: Kuning Jarak tempuh: 15696 Tipe mobil: Automatic Harga: 167000000 Bisa nego: Iya,2022-10-12 05:39:36
151,70,19,2017 Daihatsu Ayla Hatchback,False,Warna: Merah Jarak tempuh: 68962 Tipe mobil: Manual Harga: 115000000 Bisa nego: Tidak,2022-07-31 09:19:13
152,75,8,2016 Toyota Agya Hatchback,False,Warna: Biru Jarak tempuh: 57993 Tipe mobil: Manual Harga: 110000000 Bisa nego: Tidak,2022-11-12 14:02:14
153,90,5,2012 Toyota Yaris Hatchback,True,Warna: Kuning Jarak tempuh: 49119 Tipe mobil: Manual Harga: 124000000 Bisa nego: Iya,2022-05-03 05:54:06
154,9,7,2014 Toyota Agya Hatchback,False,Warna: Silver Jarak tempuh: 74685 Tipe mobil: Automatic Harga: 97000000 Bisa nego: Tidak,2022-11-22 17:18:26
155,6,39,2016 Honda CR-V SUV,True,Warna: Putih Jarak tempuh: 40303 Tipe mobil: Manual Harga: 269000000 Bisa nego: Iya,2022-11-18 13:24:20
