ad_id,user_id,car_id,title,description,color,transmission,mileage,negotiable,post_date
22,11,50,2018 Suzuki Ertiga MPV,Warna: Coklat Jarak tempuh: 28533 Tipe mobil: Manual Harga: 167000000 Bisa nego: Iya,Coklat,Manual,28533,True,2022-06-21 00:57:05
23,81,32,2019 Honda Jazz Hatchback,Warna: Oranye Jarak tempuh: 50084 Tipe mobil: Automatic Harga: 250000000 Bisa nego: Tidak,Oranye,Automatic,50084,False,2022-12-18 23:42:11
24,52,6,2019 Toyota Agya Hatchback,Warna: Coklat Jarak tempuh: 56916 Tipe mobil: Manual Harga: 114000000 Bisa nego: Tidak,Coklat,Manual,56916,False,2022-06-06 22:10:56
25,80,36,2018 Honda CR-V SUV,Warna: Coklat Jarak tempuh: 43909 Tipe mobil: Manual Harga: 415000000 Bisa nego: Tidak,Coklat,Manual,43909,False,2022-03-01 09:20:42
26,33,8,2016 Toyota Agya Hatchback,Warna: Abu-abu Jarak tempuh: 46164 Tipe mobil: Automatic Harga: 110000000 Bisa nego: Iya,Abu-abu,Automatic,46164,True,2022-05-28 19:43:11
27,6,32,2019 Honda Jazz Hatchback,Warna: Coklat Jarak tempuh: 25553 Tipe mobil: Automatic Harga: 250000000 Bisa nego: Iya,Coklat,Automatic,25553,True,2022-05-28 16:47:00
28,80,20,2017 Daihatsu Ayla Hatchback,Warna: Abu-abu Jarak tempuh: 65481 Tipe mobil: Manual Harga: 113000000 Bisa nego: Iya,Abu-abu,Manual,65481,True,2022-07-25 17:56:13
29,5,50,2018 Suzuki Ertiga MPV,Warna: Oranye Jarak tempuh: 20498 Tipe mobil: Automatic Harga: 167000000 Bisa nego: Tidak,Oranye,Automatic,20498,False,2022-07-18 09:08:43
30,31,38,2009 Honda CR-V SUV,Warna: Silver Jarak tempuh: 52850 Tipe mobil: Manual Harga: 116000000 Bisa nego: Iya,Silver,Manual,52850,True,2022-11-07 02:56:26
31,62,2,2018 Toyota Yaris Hatchback,Warna: Hitam Jarak tempuh: 18977 Tipe mobil: Automatic Harga: 215000000 Bisa nego: Tidak,Hitam,Automatic,18977,False,2022-10-08 06:03:57
32,54,13,2017 Toyota Calya Wagon,Warna: Silver Jarak tempuh: 26650 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Tidak,Silver,Automatic,26650,False,2022-04-27 13:16:33
33,75,43,2013 Honda Civic Sedan,Warna: Merah Jarak tempuh: 24455 Tipe mobil: Manual Harga: 186000000 Bisa nego: Iya,Merah,Manual,24455,True,2022-10-13 06:58:32
34,2,45,2019 Honda Civic Hatchback,Warna: Merah Jarak tempuh: 20148 Tipe mobil: Automatic Harga: 397500000 Bisa nego: Iya,Merah,Automatic,20148,True,2022-12-12 19:46:10
35,48,45,2019 Honda Civic Hatchback,Warna: Merah Jarak tempuh: 36028 Tipe mobil: Manual Harga: 397500000 Bisa nego: Tidak,Merah,Manual,36028,False,2022-01-25 19:08:04
36,70,24,2017 Daihatsu Terios SUV,Warna: Oranye Jarak tempuh: 73167 Tipe mobil: Automatic Harga: 166000000 Bisa nego: Tidak,Oranye,Automatic,73167,False,2022-07-11 16:00:28
37,48,15,2016 Toyota Calya Wagon,Warna: Hijau Jarak tempuh: 32839 Tipe mobil: Automatic Harga: 107000000 Bisa nego: Iya,Hijau,Automatic,32839,True,2022-03-03 04:04:31
38,39,26,2019 Daihatsu Xenia MPV,Warna: Putih Jarak tempuh: 38697 Tipe mobil: Automatic Harga: 170000000 Bisa nego: Iya,Putih,Automatic,38697,True,2022-01-26 17:22:52
39,40,29,2014 Daihatsu Xenia MPV,Warna: Abu-abu Jarak tempuh: 61663 Tipe mobil: Manual Harga: 100000000 Bisa nego: Iya,Abu-abu,Manual,61663,True,2022-02-24 14:22:49
40,6,33,2018 Honda Jazz Hatchback,Warna: Coklat Jarak tempuh: 18721 Tipe mobil: Manual Harga: 216000000 Bisa nego: Tidak,Coklat,Manual,18721,False,2022-11-13 12:20:56
41,51,39,2016 Honda CR-V SUV,Warna: Putih Jarak tempuh: 35551 Tipe mobil: Manual Harga: 269000000 Bisa nego: Iya,Putih,Manual,35551,True,2022-01-10 11:15:19
42,70,23,2019 Daihatsu Terios SUV,Warna: Hijau Jarak tempuh: 40938 Tipe mobil: Manual Harga: 189900000 Bisa nego: Tidak,Hijau,Manual,40938,False,2022-06-17 01:18:43
43,52,26,2019 Daihatsu Xenia MPV,Warna: Putih Jarak tempuh: 69384 Tipe mobil: Manual Harga: 170000000 Bisa nego: Iya,Putih,Manual,69384,True,2022-07-24 02:24:05
44,55,31,2018 Honda Jazz Hatchback,Warna: Merah Jarak tempuh: 10946 Tipe mobil: Manual Harga: 236000000 Bisa nego: Iya,Merah,Manual,10946,True,2022-05-15 04:45:22
45,67,21,2018 Daihatsu Terios SUV,Warna: Putih Jarak tempuh: 37721 Tipe mobil: Manual Harga: 190000000 Bisa nego: Tidak,Putih,Manual,37721,False,2022-05-18 02:39:54
46,34,6,2019 Toyota Agya Hatchback,Warna: Putih Jarak tempuh: 22566 Tipe mobil: Manual Harga: 114000000 Bisa nego: Tidak,Putih,Manual,22566,False,2022-08-13 19:13:12
47,70,41,2018 Honda Civic Hatchback,Warna: Hijau Jarak tempuh: 40510 Tipe mobil: Automatic Harga: 350000000 Bisa nego: Tidak,Hijau,Automatic,40510,False,2022-11-12 19:13:41
48,55,19,2017 Daihatsu Ayla Hatchback,Warna: Hijau Jarak tempuh: 75071 Tipe mobil: Manual Harga: 115000000 Bisa nego: Tidak,Hijau,Manual,75071,False,2022-07-31 03:05:53
49,30,46,2015 Suzuki Ertiga MPV,Warna: Biru Jarak tempuh: 76208 Tipe mobil: Manual Harga: 125000000 Bisa nego: Iya,Biru,Manual,76208,True,2022-01-20 08:26:41
50,2,4,2020 Toyota Yaris Hatchback,Warna: Abu-abu Jarak tempuh: 47218 Tipe mobil: Manual Harga: 220000000 Bisa nego: Iya,Abu-abu,Manual,47218,True,2022-09-09 15:13:46
51,40,49,2012 Suzuki Ertiga MPV,Warna: Coklat Jarak tempuh: 59415 Tipe mobil: Manual Harga: 100000000 Bisa nego: Iya,Coklat,Manual,59415,True,2022-11-15 21:17:55
52,38,14,2016 Toyota Calya Wagon,Warna: Silver Jarak tempuh: 71567 Tipe mobil: Automatic Harga: 104000000 Bisa nego: Tidak,Silver,Automatic,71567,False,2022-06-21 23:14:03
53,30,47,2018 Suzuki Ertiga MPV,Warna: Hijau Jarak tempuh: 41626 Tipe mobil: Automatic Harga: 178000000 Bisa nego: Tidak,Hijau,Automatic,41626,False,2022-08-19 23:17:15
54,34,26,2019 Daihatsu Xenia MPV,Warna: Biru Jarak tempuh: 20103 Tipe mobil: Automatic Harga: 170000000 Bisa nego: Tidak,Biru,Automatic,20103,False,2022-05-10 17:09:36
55,69,44,2013 Honda Civic Sedan,Warna: Kuning Jarak tempuh: 79935 Tipe mobil: Automatic Harga: 179000000 Bisa nego: Iya,Kuning,Automatic,79935,True,2022-08-06 07:27:21
56,22,48,2016 Suzuki Ertiga MPV,Warna: Abu-abu Jarak tempuh: 41943 Tipe mobil: Automatic Harga: 168000000 Bisa nego: Tidak,Abu-abu,Automatic,41943,False,2022-05-04 14:14:27
57,89,38,2009 Honda CR-V SUV,Warna: Abu-abu Jarak tempuh: 21052 Tipe mobil: Automatic Harga: 116000000 Bisa nego: Tidak,Abu-abu,Automatic,21052,False,2022-10-27 17:24:22
58,40,27,2022 Daihatsu Xenia MPV,Warna: Hitam Jarak tempuh: 10251 Tipe mobil: Manual Harga: 220500000 Bisa nego: Tidak,Hitam,Manual,10251,False,2022-10-20 09:01:39
59,48,12,2019 Toyota Calya Wagon,Warna: Silver Jarak tempuh: 14285 Tipe mobil: Automatic Harga: 137000000 Bisa nego: Iya,Silver,Automatic,14285,True,2022-09-29 19:15:10
60,27,44,2013 Honda Civic Sedan,Warna: Putih Jarak tempuh: 36953 Tipe mobil: Manual Harga: 179000000 Bisa nego: Iya,Putih,Manual,36953,True,2022-03-05 12:33:49
61,30,16,2016 Daihatsu Ayla Hatchback,Warna: Hijau Jarak tempuh: 13072 Tipe mobil: Manual Harga: 83000000 Bisa nego: Tidak,Hijau,Manual,13072,False,2022-06-30 20:34:13
62,45,37,2017 Honda CR-V SUV,Warna: Coklat Jarak tempuh: 25073 Tipe mobil: Automatic Harga: 345000000 Bisa nego: Iya,Coklat,Automatic,25073,True,2022-07-24 03:13:28
63,46,26,2019 Daihatsu Xenia MPV,Warna: Hijau Jarak tempuh: 22103 Tipe mobil: Automatic Harga: 170000000 Bisa nego: Iya,Hijau,Automatic,22103,True,2022-10-11 18:38:56
64,72,34,2015 Honda Jazz Hatchback,Warna: Hitam Jarak tempuh: 49136 Tipe mobil: Automatic Harga: 192000000 Bisa nego: Iya,Hitam,Automatic,49136,True,2022-01-20 18:34:39
65,40,16,2016 Daihatsu Ayla Hatchback,Warna: Silver Jarak tempuh: 40033 Tipe mobil: Automatic Harga: 83000000 Bisa nego: Iya,Silver,Automatic,40033,True,2022-04-26 00:43:32
66,65,42,2010 Honda Civic Sedan,Warna: Coklat Jarak tempuh: 55643 Tipe mobil: Automatic Harga: 165000000 Bisa nego: Iya,Coklat,Automatic,55643,True,2022-09-09 17:56:17
67,3,15,2016 Toyota Calya Wagon,Warna: Biru Jarak tempuh: 16417 Tipe mobil: Manual Harga: 107000000 Bisa nego: Tidak,Biru,Manual,16417,False,2022-07-20 19:21:28
68,39,5,2012 Toyota Yaris Hatchback,Warna: Merah Jarak tempuh: 29642 Tipe mobil: Manual Harga: 124000000 Bisa nego: Iya,Merah,Manual,29642,True,2022-11-03 06:42:17
69,65,48,2016 Suzuki Ertiga MPV,Warna: Hitam Jarak tempuh: 72349 Tipe mobil: Manual Harga: 168000000 Bisa nego: Tidak,Hitam,Manual,72349,False,2022-09-13 11:08:39
70,8,46,2015 Suzuki Ertiga MPV,Warna: Kuning Jarak tempuh: 29092 Tipe mobil: Manual Harga: 125000000 Bisa nego: Tidak,Kuning,Manual,29092,False,2022-01-26 20:05:52
71,75,9,2022 Toyota Agya Hatchback,Warna: Hijau Jarak tempuh: 62760 Tipe mobil: Manual Harga: 155500000 Bisa nego: Iya,Hijau,Manual,62760,True,2022-03-06 15:37:26
72,99,39,2016 Honda CR-V SUV,Warna: Kuning Jarak tempuh: 50850 Tipe mobil: Automatic Harga: 269000000 Bisa nego: Tidak,Kuning,Automatic,50850,False,2022-09-01 14:12:15
73,24,9,2022 Toyota Agya Hatchback,Warna: Oranye Jarak tempuh: 58102 Tipe mobil: Manual Harga: 155500000 Bisa nego: Iya,Oranye,Manual,58102,True,2022-04-22 19:01:54
74,51,38,2009 Honda CR-V SUV,Warna: Coklat Jarak tempuh: 46712 Tipe mobil: Manual Harga: 116000000 Bisa nego: Iya,Coklat,Manual,46712,True,2022-07-28 11:44:15
75,22,32,2019 Honda Jazz Hatchback,Warna: Kuning Jarak tempuh: 70454 Tipe mobil: Automatic Harga: 250000000 Bisa nego: Tidak,Kuning,Automatic,70454,False,2022-08-15 21:51:32
76,99,4,2020 Toyota Yaris Hatchback,Warna: Abu-abu Jarak tempuh: 51488 Tipe mobil: Automatic Harga: 220000000 Bisa nego: Iya,Abu-abu,Automatic,51488,True,2022-07-04 00:40:34
77,30,11,2019 Toyota Calya Wagon,Warna: Hijau Jarak tempuh: 24306 Tipe mobil: Manual Harga: 130000000 Bisa nego: Iya,Hijau,Manual,24306,True,2022-11-18 22:25:18
78,70,16,2016 Daihatsu Ayla Hatchback,Warna: Oranye Jarak tempuh: 68994 Tipe mobil: Automatic Harga: 83000000 Bisa nego: Iya,Oranye,Automatic,68994,True,2022-08-08 04:06:12
79,11,9,2022 Toyota Agya Hatchback,Warna: Kuning Jarak tempuh: 56249 Tipe mobil: Manual Harga: 155500000 Bisa nego: Iya,Kuning,Manual,56249,True,2022-11-04 11:28:21
80,22,16,2016 Daihatsu Ayla Hatchback,Warna: Abu-abu Jarak tempuh: 74794 Tipe mobil: Manual Harga: 83000000 Bisa nego: Tidak,Abu-abu,Manual,74794,False,2022-03-16 18:14:13
81,5,16,2016 Daihatsu Ayla Hatchback,Warna: Merah Jarak tempuh: 62720 Tipe mobil: Manual Harga: 83000000 Bisa nego: Tidak,Merah,Manual,62720,False,2022-09-23 09:35:11
82,40,4,2020 Toyota Yaris Hatchback,Warna: Putih Jarak tempuh: 14417 Tipe mobil: Manual Harga: 220000000 Bisa nego: Tidak,Putih,Manual,14417,False,2022-06-09 15:53:51
83,95,48,2016 Suzuki Ertiga MPV,Warna: Abu-abu Jarak tempuh: 22617 Tipe mobil: Automatic Harga: 168000000 Bisa nego: Iya,Abu-abu,Automatic,22617,True,2022-10-25 11:04:40
84,80,33,2018 Honda Jazz Hatchback,Warna: Hijau Jarak tempuh: 60203 Tipe mobil: Manual Harga: 216000000 Bisa nego: Iya,Hijau,Manual,60203,True,2022-11-22 18:09:25
85,70,13,2017 Toyota Calya Wagon,Warna: Hitam Jarak tempuh: 65398 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Tidak,Hitam,Automatic,65398,False,2022-06-01 14:28:19
86,33,7,2014 Toyota Agya Hatchback,Warna: Putih Jarak tempuh: 34687 Tipe mobil: Automatic Harga: 97000000 Bisa nego: Iya,Putih,Automatic,34687,True,2022-01-31 16:50:13
87,75,49,2012 Suzuki Ertiga MPV,Warna: Putih Jarak tempuh: 36731 Tipe mobil: Manual Harga: 100000000 Bisa nego: Iya,Putih,Manual,36731,True,2022-06-09 12:52:30
88,34,36,2018 Honda CR-V SUV,Warna: Oranye Jarak tempuh: 40423 Tipe mobil: Automatic Harga: 415000000 Bisa nego: Iya,Oranye,Automatic,40423,True,2022-05-22 18:38:50
89,54,30,2018 Daihatsu Xenia MPV,Warna: Hijau Jarak tempuh: 19964 Tipe mobil: Automatic Harga: 159000000 Bisa nego: Iya,Hijau,Automatic,19964,True,2022-06-22 08:38:25
90,2,32,2019 Honda Jazz Hatchback,Warna: Oranye Jarak tempuh: 58925 Tipe mobil: Automatic Harga: 250000000 Bisa nego: Iya,Oranye,Automatic,58925,True,2022-03-09 04:11:50
91,8,41,2018 Honda Civic Hatchback,Warna: Abu-abu Jarak tempuh: 66901 Tipe mobil: Manual Harga: 350000000 Bisa nego: Tidak,Abu-abu,Manual,66901,False,2022-08-28 02:58:16
92,68,8,2016 Toyota Agya Hatchback,Warna: Oranye Jarak tempuh: 31956 Tipe mobil: Manual Harga: 110000000 Bisa nego: Tidak,Oranye,Manual,31956,False,2022-06-06 03:15:23
93,24,45,2019 Honda Civic Hatchback,Warna: Abu-abu Jarak tempuh: 21158 Tipe mobil: Automatic Harga: 397500000 Bisa nego: Tidak,Abu-abu,Automatic,21158,False,2022-08-25 04:23:12
94,85,5,2012 Toyota Yaris Hatchback,Warna: Merah Jarak tempuh: 77684 Tipe mobil: Automatic Harga: 124000000 Bisa nego: Tidak,Merah,Automatic,77684,False,2022-12-02 05:30:06
95,36,11,2019 Toyota Calya Wagon,Warna: Silver Jarak tempuh: 79768 Tipe mobil: Manual Harga: 130000000 Bisa nego: Tidak,Silver,Manual,79768,False,2022-04-15 18:43:05
96,97,12,2019 Toyota Calya Wagon,Warna: Kuning Jarak tempuh: 66436 Tipe mobil: Manual Harga: 137000000 Bisa nego: Tidak,Kuning,Manual,66436,False,2022-06-09 08:20:08
97,23,28,2017 Daihatsu Xenia MPV,Warna: Oranye Jarak tempuh: 57549 Tipe mobil: Automatic Harga: 135000000 Bisa nego: Iya,Oranye,Automatic,57549,True,2022-08-21 08:01:53
98,33,49,2012 Suzuki Ertiga MPV,Warna: Oranye Jarak tempuh: 68892 Tipe mobil: Automatic Harga: 100000000 Bisa nego: Iya,Oranye,Automatic,68892,True,2022-05-11 04:23:52
99,52,18,2015 Daihatsu Ayla Hatchback,Warna: Kuning Jarak tempuh: 15499 Tipe mobil: Manual Harga: 96000000 Bisa nego: Tidak,Kuning,Manual,15499,False,2022-01-09 10:42:54
100,33,5,2012 Toyota Yaris Hatchback,Warna: Kuning Jarak tempuh: 58075 Tipe mobil: Automatic Harga: 124000000 Bisa nego: Iya,Kuning,Automatic,58075,True,2022-12-26 11:22:51
101,78,9,2022 Toyota Agya Hatchback,Warna: Silver Jarak tempuh: 15940 Tipe mobil: Manual Harga: 155500000 Bisa nego: Tidak,Silver,Manual,15940,False,2022-06-02 04:48:37
102,52,32,2019 Honda Jazz Hatchback,Warna: Merah Jarak tempuh: 78126 Tipe mobil: Automatic Harga: 250000000 Bisa nego: Tidak,Merah,Automatic,78126,False,2022-10-26 23:34:38
103,65,1,2016 Toyota Yaris Hatchback,Warna: Putih Jarak tempuh: 20487 Tipe mobil: Automatic Harga: 175000000 Bisa nego: Iya,Putih,Automatic,20487,True,2022-06-02 08:50:22
104,52,50,2018 Suzuki Ertiga MPV,Warna: Abu-abu Jarak tempuh: 21079 Tipe mobil: Manual Harga: 167000000 Bisa nego: Tidak,Abu-abu,Manual,21079,False,2022-11-09 19:52:05
105,41,45,2019 Honda Civic Hatchback,Warna: Hijau Jarak tempuh: 78872 Tipe mobil: Manual Harga: 397500000 Bisa nego: Iya,Hijau,Manual,78872,True,2022-02-15 06:50:09
106,46,27,2022 Daihatsu Xenia MPV,Warna: Hitam Jarak tempuh: 50495 Tipe mobil: Manual Harga: 220500000 Bisa nego: Iya,Hitam,Manual,50495,True,2022-02-27 23:52:22
107,91,4,2020 Toyota Yaris Hatchback,Warna: Merah Jarak tempuh: 41066 Tipe mobil: Manual Harga: 220000000 Bisa nego: Iya,Merah,Manual,41066,True,2022-10-20 10:30:44
108,2,27,2022 Daihatsu Xenia MPV,Warna: Oranye Jarak tempuh: 70417 Tipe mobil: Manual Harga: 220500000 Bisa nego: Tidak,Oranye,Manual,70417,False,2022-08-04 15:59:31
109,33,27,2022 Daihatsu Xenia MPV,Warna: Abu-abu Jarak tempuh: 30516 Tipe mobil: Manual Harga: 220500000 Bisa nego: Tidak,Abu-abu,Manual,30516,False,2022-03-15 03:25:25
110,69,16,2016 Daihatsu Ayla Hatchback,Warna: Abu-abu Jarak tempuh: 76999 Tipe mobil: Automatic Harga: 83000000 Bisa nego: Iya,Abu-abu,Automatic,76999,True,2022-01-24 20:28:55
111,2,4,2020 Toyota Yaris Hatchback,Warna: Oranye Jarak tempuh: 58452 Tipe mobil: Manual Harga: 220000000 Bisa nego: Tidak,Oranye,Manual,58452,False,2022-03-27 18:05:13
112,95,42,2010 Honda Civic Sedan,Warna: Silver Jarak tempuh: 50372 Tipe mobil: Manual Harga: 165000000 Bisa nego: Tidak,Silver,Manual,50372,False,2022-05-16 15:24:11
113,6,39,2016 Honda CR-V SUV,Warna: Hijau Jarak tempuh: 70427 Tipe mobil: Automatic Harga: 269000000 Bisa nego: Tidak,Hijau,Automatic,70427,False,2022-01-26 06:18:15
114,68,26,2019 Daihatsu Xenia MPV,Warna: Hitam Jarak tempuh: 26713 Tipe mobil: Manual Harga: 170000000 Bisa nego: Tidak,Hitam,Manual,26713,False,2022-10-08 15:31:19
115,97,13,2017 Toyota Calya Wagon,Warna: Silver Jarak tempuh: 41202 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Tidak,Silver,Automatic,41202,False,2022-03-19 17:05:35
116,99,29,2014 Daihatsu Xenia MPV,Warna: Coklat Jarak tempuh: 17014 Tipe mobil: Automatic Harga: 100000000 Bisa nego: Iya,Coklat,Automatic,17014,True,2022-12-15 18:32:07
117,69,24,2017 Daihatsu Terios SUV,Warna: Putih Jarak tempuh: 28387 Tipe mobil: Automatic Harga: 166000000 Bisa nego: Tidak,Putih,Automatic,28387,False,2022-11-26 00:41:02
118,68,38,2009 Honda CR-V SUV,Warna: Coklat Jarak tempuh: 38706 Tipe mobil: Manual Harga: 116000000 Bisa nego: Tidak,Coklat,Manual,38706,False,2022-08-21 07:28:05
119,55,10,2017 Toyota Agya Hatchback,Warna: Silver Jarak tempuh: 23693 Tipe mobil: Manual Harga: 115500000 Bisa nego: Iya,Silver,Manual,23693,True,2022-09-18 01:59:37
120,22,8,2016 Toyota Agya Hatchback,Warna: Kuning Jarak tempuh: 21377 Tipe mobil: Manual Harga: 110000000 Bisa nego: Tidak,Kuning,Manual,21377,False,2022-06-12 22:17:37
121,69,21,2018 Daihatsu Terios SUV,Warna: Kuning Jarak tempuh: 63608 Tipe mobil: Automatic Harga: 190000000 Bisa nego: Iya,Kuning,Automatic,63608,True,2022-08-31 22:08:53
122,89,13,2017 Toyota Calya Wagon,Warna: Kuning Jarak tempuh: 69074 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Iya,Kuning,Automatic,69074,True,2022-09-11 01:27:21
123,70,12,2019 Toyota Calya Wagon,Warna: Silver Jarak tempuh: 54339 Tipe mobil: Automatic Harga: 137000000 Bisa nego: Iya,Silver,Automatic,54339,True,2022-02-13 09:00:59
124,24,49,2012 Suzuki Ertiga MPV,Warna: Putih Jarak tempuh: 24228 Tipe mobil: Manual Harga: 100000000 Bisa nego: Iya,Putih,Manual,24228,True,2022-08-08 04:50:14
125,78,18,2015 Daihatsu Ayla Hatchback,Warna: Hitam Jarak tempuh: 50735 Tipe mobil: Automatic Harga: 96000000 Bisa nego: Iya,Hitam,Automatic,50735,True,2022-08-08 16:00:05
126,67,42,2010 Honda Civic Sedan,Warna: Hijau Jarak tempuh: 67306 Tipe mobil: Manual Harga: 165000000 Bisa nego: Iya,Hijau,Manual,67306,True,2022-09-20 00:43:32
127,46,30,2018 Daihatsu Xenia MPV,Warna: Biru Jarak tempuh: 26615 Tipe mobil: Manual Harga: 159000000 Bisa nego: Tidak,Biru,Manual,26615,False,2022-08-30 21:37:43
128,63,7,2014 Toyota Agya Hatchback,Warna: Oranye Jarak tempuh: 64845 Tipe mobil: Automatic Harga: 97000000 Bisa nego: Iya,Oranye,Automatic,64845,True,2022-06-25 03:02:56
129,29,29,2014 Daihatsu Xenia MPV,Warna: Coklat Jarak tempuh: 24889 Tipe mobil: Manual Harga: 100000000 Bisa nego: Tidak,Coklat,Manual,24889,False,2022-11-28 20:24:31
130,69,28,2017 Daihatsu Xenia MPV,Warna: Kuning Jarak tempuh: 72883 Tipe mobil: Automatic Harga: 135000000 Bisa nego: Tidak,Kuning,Automatic,72883,False,2022-09-29 12:18:40
131,93,16,2016 Daihatsu Ayla Hatchback,Warna: Hitam Jarak tempuh: 14808 Tipe mobil: Manual Harga: 83000000 Bisa nego: Iya,Hitam,Manual,14808,True,2022-09-22 07:36:23
132,72,4,2020 Toyota Yaris Hatchback,Warna: Oranye Jarak tempuh: 28046 Tipe mobil: Manual Harga: 220000000 Bisa nego: Tidak,Oranye,Manual,28046,False,2022-03-24 06:10:24
133,34,22,2022 Daihatsu Terios SUV,Warna: Coklat Jarak tempuh: 58992 Tipe mobil: Manual Harga: 223000000 Bisa nego: Tidak,Coklat,Manual,58992,False,2022-01-23 00:29:30
134,89,18,2015 Daihatsu Ayla Hatchback,Warna: Coklat Jarak tempuh: 69022 Tipe mobil: Manual Harga: 96000000 Bisa nego: Tidak,Coklat,Manual,69022,False,2022-07-10 10:45:38
135,41,9,2022 Toyota Agya Hatchback,Warna: Biru Jarak tempuh: 23573 Tipe mobil: Automatic Harga: 155500000 Bisa nego: Tidak,Biru,Automatic,23573,False,2022-01-24 07:39:20
